Symptoms,Disease,Description,Precautions,Medications,Doctor_Recommendation
"sneezing, cough",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"fever, weakness, abdominal cramps, vomiting, nausea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"experiencing prolonged high fever, headache, stomach pain, weakness, loss of appetite",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling muscle aches, headache, fatigue, chills, sweats, high fever, dry cough",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"wheezing, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"muscle aches, headache",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"experiencing rash, stomach pain, weakness, prolonged high fever, loss of appetite",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"muscle aches, diarrhea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"vomiting, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"feeling sweats, fatigue, headache, muscle aches, dry cough",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"suffering from sore throat, loss of taste",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"congestion, sore throat",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"i have shortness of breath, chest tightness",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"suffering from nausea, throbbing pain, vomiting, sensitivity to sound, sensitivity to light",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"feeling low-grade fever, muscle aches, stomach cramps, nausea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have muscle aches, vomiting, low-grade fever, diarrhea, nausea, stomach cramps",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"feeling sensitivity to sound, nausea, vomiting, sensitivity to light, severe headache, throbbing pain",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"suffering from vomiting, sensitivity to sound, sensitivity to light, severe headache, throbbing pain, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"feeling loss of smell, sore throat, dry cough, fever",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"experiencing nasal congestion, sneezing",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"i have shortness of breath, fatigue, sore throat, fever, dry cough, body aches",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"i have vomiting, diarrhea, weakness, abdominal cramps, fever, nausea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"wheezing, chest tightness",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"congestion, cough",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"i have rapid breathing, chest tightness, shortness of breath, coughing episodes, wheezing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"suffering from nausea, stomach cramps, diarrhea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"suffering from sensitivity to light, vomiting, nausea, severe headache, sensitivity to sound",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"feeling itchy eyes, watery eyes, sneezing, runny nose, itchy throat, nasal congestion",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"feeling prolonged high fever, rash",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"suffering from dry cough, loss of taste, body aches",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"runny nose, mild fever, congestion, sneezing, cough, sore throat",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"suffering from weakness, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"rash, high fever, joint pain, fatigue, severe headache, muscle pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"suffering from vomiting, sensitivity to light",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"i have sensitivity to light, sensitivity to sound",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"feeling prolonged high fever, stomach pain, weakness",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling low-grade fever, stomach cramps",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have nausea, muscle aches, vomiting",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"suffering from nausea, abdominal cramps, weakness",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"experiencing fatigue, pain behind eyes, high fever, rash, severe headache, joint pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling shortness of breath, chest tightness, wheezing, coughing episodes",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"chills, high fever, sweats, headache, dry cough, fatigue",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"i have chest tightness, coughing episodes, wheezing, shortness of breath, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"experiencing severe headache, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"i have shortness of breath, fever, dry cough, sore throat, loss of taste, fatigue, body aches",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"experiencing high fever, muscle pain, fatigue, rash, severe headache, joint pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling rash, muscle pain, high fever, joint pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling coughing episodes, rapid breathing, shortness of breath",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"i have prolonged high fever, headache",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"experiencing nasal congestion, itchy eyes, watery eyes",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"rapid breathing, chest tightness, coughing episodes, wheezing, shortness of breath",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"i have severe headache, sensitivity to sound, vomiting, sensitivity to light, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"sweats, fatigue, dry cough",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"i have rash, weakness",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"i have sore throat, sneezing, mild fever, runny nose",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"weakness, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"experiencing mild fever, congestion, cough, sneezing, runny nose, sore throat",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"i have wheezing, rapid breathing, coughing episodes, shortness of breath",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"feeling sneezing, cough, mild fever, congestion, sore throat",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"vomiting, low-grade fever, stomach cramps",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"feeling chest tightness, shortness of breath, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"suffering from sensitivity to light, vomiting, throbbing pain, severe headache, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing rash, loss of appetite, weakness, prolonged high fever",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"i have sore throat, mild fever, sneezing, runny nose, congestion",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"shortness of breath, sore throat, body aches, dry cough, loss of taste, fatigue, loss of smell",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"feeling muscle aches, vomiting, low-grade fever",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"congestion, runny nose, sore throat, mild fever",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"i have rash, joint pain, high fever, muscle pain, pain behind eyes",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"experiencing nausea, stomach cramps, diarrhea, vomiting, low-grade fever",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have fever, weakness, abdominal cramps",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"suffering from shortness of breath, chest tightness",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"fatigue, rash, muscle pain, joint pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"experiencing vomiting, nausea, abdominal cramps, fever",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"experiencing sensitivity to sound, sensitivity to light",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"i have watery eyes, nasal congestion, itchy eyes, sneezing",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"suffering from nausea, weakness, vomiting, abdominal cramps, diarrhea, fever",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"experiencing high fever, fatigue, rash, severe headache, pain behind eyes, muscle pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"prolonged high fever, stomach pain, headache",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"suffering from diarrhea, weakness, abdominal cramps, vomiting, fever",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"fever, fatigue, shortness of breath, loss of taste, body aches, dry cough, loss of smell",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"experiencing sneezing, nasal congestion",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"i have body aches, sore throat, fever, shortness of breath, fatigue, loss of smell, loss of taste",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"experiencing stomach cramps, nausea, low-grade fever, vomiting",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"fever, loss of taste, shortness of breath",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
